latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
39.533,22.615,312.3,1,1,2015-08-05, 0025,A,78,5.0,290.4,17.7
39.367,22.481,310,1,1,2015-08-05, 0025,A,69,5.0,290.3,14.6
30.778,27.114,305.6,1.7,1.3,2015-08-05, 0025,A,34,5.0,293.6,17.5
30.769,27.106,309.4,1.7,1.3,2015-08-05, 0025,A,66,5.0,293.5,23.7
46.155,129.367,310.5,3.3,1.7,2015-08-05, 0135,T,21,5.0,296.3,42.9
46.16,129.359,310.6,3.3,1.7,2015-08-05, 0135,T,41,5.0,297.1,48.9
42.814,143.658,318.1,1.1,1.1,2015-08-05, 0135,T,59,5.0,305.7,13.3
42.686,141.388,314.2,1,1,2015-08-05, 0135,T,37,5.0,301.5,10.7
42.295,143.314,313.4,1.1,1.1,2015-08-05, 0135,T,27,5.0,295.4,10.1
42.411,139.879,313.6,1,1,2015-08-05, 0135,T,44,5.0,300.2,9.9
40.927,141.361,316.5,1,1,2015-08-05, 0135,T,66,5.0,305.5,11.3
40.81,140.387,322.7,1,1,2015-08-05, 0135,T,76,5.0,310,14.9
40.697,140.461,321,1,1,2015-08-05, 0135,T,73,5.0,308.9,12.6
40.533,141.504,331.3,1,1,2015-08-05, 0135,T,73,5.0,307.1,16
39.702,140.729,316.1,1,1,2015-08-05, 0135,T,63,5.0,304.1,13.1
39.659,140.169,320.6,1,1,2015-08-05, 0135,T,72,5.0,307.2,12.7
39.544,140.374,317.4,1,1,2015-08-05, 0135,T,65,5.0,304.3,10.3
39.209,141.078,319.8,1,1,2015-08-05, 0135,T,68,5.0,304.6,9.9
39.207,141.09,321.4,1,1,2015-08-05, 0135,T,63,5.0,304.6,11
39.292,139.968,317.9,1,1,2015-08-05, 0135,T,0,5.0,305.8,11.4
39.229,140.137,317.8,1,1,2015-08-05, 0135,T,69,5.0,306.4,11.6
38.758,140.305,322.7,1,1,2015-08-05, 0135,T,33,5.0,306.5,12.2
38.568,140.861,322.3,1,1,2015-08-05, 0135,T,68,5.0,307,13.4
38.536,141.062,320.5,1.1,1,2015-08-05, 0135,T,54,5.0,305.1,11.3
38.42,141.358,319.2,1.1,1,2015-08-05, 0135,T,47,5.0,302.2,12.6
38.444,140.883,322.7,1,1,2015-08-05, 0135,T,65,5.0,306,13.7
38.475,140.394,320.1,1,1,2015-08-05, 0135,T,25,5.0,303.8,12.3
-16.711,133.149,316.6,2.3,1.5,2015-08-05, 0155,T,66,5.0,299.4,40.7
-16.654,128.259,323.1,1.1,1,2015-08-05, 0155,T,74,5.0,303.3,21.5
-16.662,128.247,316.9,1.1,1,2015-08-05, 0155,T,28,5.0,304.3,10.7
-16.663,128.258,325.5,1.1,1,2015-08-05, 0155,T,73,5.0,302.1,22.8
-17.01,122.648,326,1.3,1.1,2015-08-05, 0155,T,79,5.0,305.9,30.8
-17.012,122.66,316.1,1.3,1.1,2015-08-05, 0155,T,47,5.0,302.6,12.5
-17.207,123.104,318.5,1.3,1.1,2015-08-05, 0155,T,65,5.0,306.6,14.3
-17.208,123.11,319.2,1.3,1.1,2015-08-05, 0155,T,68,5.0,305.6,15.2
-19.426,127.331,337.7,1.1,1,2015-08-05, 0155,T,88,5.0,300.5,43.2
-19.427,127.341,332.2,1.1,1,2015-08-05, 0155,T,84,5.0,301.7,33.7
-19.45,127.503,321.6,1.1,1,2015-08-05, 0155,T,74,5.0,301.3,17
-19.451,127.514,320.3,1.1,1,2015-08-05, 0155,T,70,5.0,300.1,15.5
-19.431,127.299,335.4,1.1,1,2015-08-05, 0155,T,87,5.0,300.5,38.2
-19.432,127.309,339,1.1,1,2015-08-05, 0155,T,89,5.0,301.3,44.6
-19.434,127.319,336,1.1,1,2015-08-05, 0155,T,87,5.0,300.9,39.4
-19.437,127.278,378.2,1.1,1,2015-08-05, 0155,T,100,5.0,309.1,161.4
-19.439,127.288,379.2,1.1,1,2015-08-05, 0155,T,100,5.0,311.9,165.2
-19.44,127.298,374.7,1.1,1,2015-08-05, 0155,T,100,5.0,306,146.1
-19.442,127.308,328.3,1.1,1,2015-08-05, 0155,T,81,5.0,299.8,26
-19.447,127.276,413.7,1.1,1,2015-08-05, 0155,T,100,5.0,304.1,368.7
-19.448,127.286,397.2,1.1,1,2015-08-05, 0155,T,100,5.0,304.3,256.5
-19.449,127.297,316.3,1.1,1,2015-08-05, 0155,T,66,5.0,298.3,10.8
-19.451,127.307,312.4,1.1,1,2015-08-05, 0155,T,29,5.0,298.3,6
-19.52,127.462,359.8,1.1,1,2015-08-05, 0155,T,99,5.0,302.8,98.3
-19.521,127.472,347.2,1.1,1,2015-08-05, 0155,T,94,5.0,303,63.7
-19.523,127.482,326.9,1.1,1,2015-08-05, 0155,T,80,5.0,301.2,24.6
-19.525,127.455,325.4,1.1,1,2015-08-05, 0155,T,78,5.0,298.6,24.6
-19.527,127.465,328,1.1,1,2015-08-05, 0155,T,81,5.0,299.9,28.7
-20.181,130.015,313.8,1.5,1.2,2015-08-05, 0155,T,59,5.0,296.8,20.8
-21.31,130.88,320.4,1.8,1.3,2015-08-05, 0155,T,68,5.0,299,37.6
-21.321,130.878,315.7,1.8,1.3,2015-08-05, 0155,T,29,5.0,299,23.4
-20.958,127.913,311.4,1.2,1.1,2015-08-05, 0155,T,48,5.0,299.4,8.5
-20.96,127.924,314,1.2,1.1,2015-08-05, 0155,T,60,5.0,298.9,12.1
-21.005,127.945,314,1.2,1.1,2015-08-05, 0155,T,34,5.0,299.5,9.3
-21.015,127.944,312.8,1.2,1.1,2015-08-05, 0155,T,25,5.0,300.1,8.1
1.445,125.18,310.7,1.8,1.3,2015-08-05, 0150,T,15,5.0,294,18.7
-2.133,132.428,310.5,1.2,1.1,2015-08-05, 0150,T,39,5.0,297.5,11.6
-3.05,130.31,312.9,1,1,2015-08-05, 0150,T,56,5.0,300,9.8
-7.911,129.616,313.2,1,1,2015-08-05, 0150,T,40,5.0,300.1,10.4
-8.482,126.381,314.1,1.1,1,2015-08-05, 0150,T,45,5.0,301.4,5.8
-8.601,126.014,313.4,1.1,1.1,2015-08-05, 0150,T,53,5.0,297.7,9.2
-9.052,125.287,314.8,1.2,1.1,2015-08-05, 0150,T,59,5.0,298.5,16.9
-8.586,121.008,311.5,2.5,1.5,2015-08-05, 0150,T,37,5.0,296.5,26.4
-8.592,121,310.5,2.5,1.5,2015-08-05, 0150,T,27,5.0,294.9,23.9
-11.146,132.56,318.2,1.7,1.3,2015-08-05, 0150,T,63,5.0,301.9,24.3
-11.438,132.848,318.2,1.8,1.3,2015-08-05, 0150,T,65,5.0,304.4,23.2
-11.433,132.843,325.3,1.8,1.3,2015-08-05, 0150,T,74,5.0,304.4,42.3
-11.497,132.785,320,1.8,1.3,2015-08-05, 0150,T,54,5.0,303.5,31.6
-11.579,132.901,319.9,1.8,1.3,2015-08-05, 0150,T,43,5.0,306,26.4
-11.582,132.917,320.8,1.8,1.3,2015-08-05, 0150,T,49,5.0,303.5,31.5
-11.617,132.913,323.6,1.8,1.3,2015-08-05, 0150,T,71,5.0,306,41
-11.315,130.594,320.1,1.3,1.1,2015-08-05, 0150,T,0,5.0,301.8,18.5
-11.309,130.48,312.9,1.2,1.1,2015-08-05, 0150,T,35,5.0,301.1,9.4
-11.309,130.474,316.4,1.2,1.1,2015-08-05, 0150,T,47,5.0,303.2,13.4
-11.623,132.906,321,1.8,1.3,2015-08-05, 0150,T,30,5.0,305.3,30.3
-11.402,130.86,323,1.3,1.1,2015-08-05, 0150,T,70,5.0,305.8,23.8
-11.477,131.415,318.3,1.4,1.2,2015-08-05, 0150,T,42,5.0,302.2,18.6
